metric_id,metric_name,category,definition,formula,data_format,source,system,stakeholder,layers,aliases,core_question,priority,dashboard_flag,extraction_notes
refinance_dscr,Refinance DSCR,Debt & Leverage,Underwritten coverage at refi,Forward NOI ÷ projected debt service,Excel / PDF,Business Plan / Budget; Loan / Debt Docs; CapEx Tracker,,,Business Plan; Debt; CapEx,Refinance DSCR; DSCR; Debt Service Coverage Ratio; Debt Coverage,Is the leverage healthy?; Is risk increasing or decreasing over time?; Is further capital justified?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
break_even_occupancy_monthly,Break-even Occupancy (Monthly),Debt & Leverage,Occupancy needed to cover opex and debt,(Opex + debt service - other income) ÷ potential gross income,Excel / PDF,Financial Statement / GL; Loan / Debt Docs; CapEx Tracker,,,Actuals; Leasing / Rent Roll; Debt; CapEx,Break-even Occupancy (Monthly); Occupancy; Occupied %; Physical Occupancy; Economic Occupancy; Break-even Occupancy; Occupied; Vacancy,Are we performing vs plan?; Is risk increasing or decreasing over time?; Is the leverage healthy?; Is further capital justified?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
covenant_headroom,Covenant Headroom,Debt & Leverage,Cushion to default triggers,Actual metric - covenant threshold,Excel / PDF,Financial Statement / GL; Loan / Debt Docs; CapEx Tracker,,,Actuals; Debt; CapEx,Covenant Headroom,Is the leverage healthy?; Is risk increasing or decreasing over time?; Is further capital justified?,Medium,No,Calculate from extracted inputs where direct value is unavailable.
cash_sweep_trigger_status,Cash Sweep Trigger Status,Debt & Leverage,Whether loan cash controls may activate,Compare actuals vs trigger levels,PDF,Loan / Debt Docs; CapEx Tracker,,,Debt; CapEx,Cash Sweep Trigger Status,Is the leverage healthy?; Is risk increasing or decreasing over time?; Is further capital justified?,Low,No,Search by metric aliases; validate source and period.
hedging_cost_swap_cost,Hedging Cost / Swap Cost,Debt & Leverage,Cost of interest rate protection,From hedge schedule,PDF,Loan / Debt Docs; CapEx Tracker,,,Debt; CapEx,Hedging Cost / Swap Cost; Hedging Cost; Swap Cost,Is the leverage healthy?; Is risk increasing or decreasing over time?; Is further capital justified?,Low,No,Direct extract from source document.
market_value,Market Value,Valuation & Returns,Current estimated value,NOI ÷ market cap rate or DCF,PDF/Excel,Financial Statement / GL,,,Actuals,Market Value,Is the asset worth its basis?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
direct_cap_value,Direct Cap Value,Valuation & Returns,Value using current/stabilized NOI,NOI ÷ cap rate,PDF/Excel,Financial Statement / GL,,,Actuals,Direct Cap Value,Is the asset worth its basis?,Low,No,Calculate from extracted inputs where direct value is unavailable.
exit_value_terminal_value,Exit Value / Terminal Value,Valuation & Returns,Anticipated sale value,Exit NOI ÷ exit cap rate - selling costs,Excel,Financial Statement / GL,,,Actuals,Exit Value / Terminal Value; Exit Value; Terminal Value,Is the asset worth its basis?,Low,No,Calculate from extracted inputs where direct value is unavailable.
value_creation,Value Creation,Valuation & Returns,Increase from business plan or market movement,Current value - basis or prior value,Excel,Source File,,,General,Value Creation,Is the asset worth its basis?,Low,No,Calculate from extracted inputs where direct value is unavailable.
unlevered_irr,Unlevered IRR,Valuation & Returns,Property-level return without debt,IRR on unlevered cash flows,Excel,Financial Statement / GL,,,Actuals,Unlevered IRR; IRR; Internal Rate of Return; Levered IRR; Equity IRR; Property IRR,Is the asset worth its basis?,High,Yes,Search by metric aliases; validate source and period.
levered_irr,Levered IRR,Valuation & Returns,Equity return including financing,IRR on equity cash flows,Excel,Financial Statement / GL,,,Actuals,Levered IRR; IRR; Internal Rate of Return; Unlevered IRR; Equity IRR,Is the asset worth its basis?,High,Yes,Search by metric aliases; validate source and period.
equity_multiple,Equity Multiple,Valuation & Returns,Total equity proceeds / equity invested,Total net distributions + sale proceeds ÷ equity invested,Excel,Financial Statement / GL,,,Actuals,Equity Multiple; EM; Multiple,Is the asset worth its basis?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
cash_on_cash_return,Cash-on-Cash Return,Valuation & Returns,Annual cash yield on equity,Cash flow after debt service ÷ average or beginning equity,Excel,Financial Statement / GL,,,Actuals,Cash-on-Cash Return,Is the asset worth its basis?,Low,No,Calculate from extracted inputs where direct value is unavailable.
yield_on_cost,Yield on Cost,Valuation & Returns,Stabilized NOI ÷ total cost,As above,Excel,Financial Statement / GL,,,Actuals,Yield on Cost,Is further capital justified?; Is the asset worth its basis?,High,Yes,Search by metric aliases; validate source and period.
spread_to_exit_cap_development_spread,Spread to Exit Cap / Development Spread,Valuation & Returns,Yield on cost less market cap,YOC - market cap,Excel,Financial Statement / GL,,,Actuals,Spread to Exit Cap / Development Spread; Spread to Exit Cap; Development Spread,Is the asset worth its basis?,High,Yes,Calculate from extracted inputs where direct value is unavailable.
npv,NPV,Valuation & Returns,Present value of projected cash flows,Discount cash flows at required rate,Excel,Financial Statement / GL,,,Actuals,NPV,Is the asset worth its basis?,Low,No,Search by metric aliases; validate source and period.
unrealized_gain_loss,Unrealized Gain / Loss,Valuation & Returns,Paper value creation,Market value - book basis,Excel,Source File,,,General,Unrealized Gain / Loss; Unrealized Gain; Loss,Is the asset worth its basis?,Low,No,Calculate from extracted inputs where direct value is unavailable.
realized_gain_loss,Realized Gain / Loss,Valuation & Returns,Actual profit on sale/refi,Net proceeds - basis,Excel,Source File,,,General,Realized Gain / Loss; Realized Gain; Loss,Is the asset worth its basis?,Low,No,Calculate from extracted inputs where direct value is unavailable.
hold_period_return_by_year,Hold Period Return by Year,Valuation & Returns,Return decomposition,(Annual CF + (e.o. yr value - b.o. yr value))÷ e.o. year Value,PDF/Excel,Financial Statement / GL,,,Actuals,Hold Period Return by Year,Is the asset worth its basis?,Low,No,Calculate from extracted inputs where direct value is unavailable.
attribution_of_return,Attribution of Return,Valuation & Returns,What drove return,"Break into NOI growth, cap rate change, leverage, timing",Excel,Source File,,,General,Attribution of Return,Is the asset worth its basis?,Low,No,Search by metric aliases; validate source and period.
